landmark_id,position,url,source,license,attribution_text,caption_en,caption_ar,researcher,notes
PET-SOF,1,"https://commons.wikimedia.org/wiki/Special:FilePath/Street_of_Facades,_Petra.jpg",Wikimedia Commons,CC BY-SA 3.0,"Photo by Bernard Gagnon, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-SOF,2,,,,,,,,
PET-SOF,3,,,,,,,,
PET-THE,1,https://commons.wikimedia.org/wiki/Special:FilePath/Theater_of_Petra.jpg,Wikimedia Commons,CC BY-SA 3.0,"Photo by Bernard Gagnon, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-THE,2,,,,,,,,
PET-THE,3,,,,,,,,
PET-TRE,1,"https://commons.wikimedia.org/wiki/Special:FilePath/Al-Khazneh_(The_Treasury),_Petra,_Jordan.jpg",Wikimedia Commons,CC BY 4.0,"Photo by Vyacheslav Argenberg, CC BY 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-TRE,2,,,,,,,,
PET-TRE,3,,,,,,,,
PET-TWL,1,https://commons.wikimedia.org/wiki/Special:FilePath/Petra_Temple_of_the_Winged_Lions_2321.jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Dosseman, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-TWL,2,,,,,,,,
PET-TWL,3,,,,,,,,
PET-URN,1,"https://commons.wikimedia.org/wiki/Special:FilePath/Urn_Tomb,_Petra_01.jpg",Wikimedia Commons,CC BY-SA 3.0,"Photo by Bernard Gagnon, CC BY-SA 3.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-URN,2,,,,,,,,
PET-URN,3,,,,,,,,
PET-WFA,1,https://commons.wikimedia.org/wiki/Special:FilePath/Wadi_al-Farasa_tombs.jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Davide Mauro, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-WFA,2,,,,,,,,
PET-WFA,3,,,,,,,,
PET-WMD,1,https://commons.wikimedia.org/wiki/Special:FilePath/Petra_Wadi_Muthlim_2110.jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Dosseman, CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-WMD,2,,,,,,,,
PET-WMD,3,,,,,,,,
PET-WSA,1,https://commons.wikimedia.org/wiki/Special:FilePath/P%C3%A9tra._Plan_de_la_r%C3%A9gion_des_thermes_de_Sabra_en_1830.jpg,Wikimedia Commons,CC BY-SA 4.0,"Photo by Leon Laborde and Linant de Bellefonds., CC BY-SA 4.0, via Wikimedia Commons",,,,carried over from the Phase 1 hero image
PET-WSA,2,,,,,,,,
PET-WSA,3,,,,,,,,
